num_pairs,star,name,ra,dec,culture
1,83163,Gawaargay,16.995642,-18.248341,kamilaroi
1,83163,Gawaargay,16.995642,-18.248341,kamilaroi
1,29711,Birraybirray,6.258243,-4.914719,kamilaroi
1,52730,Birringoloo,10.780024,-69.209786,kamilaroi
1,58307,Yarran,11.957198,-61.123431,kamilaroi
1,104385,Old Wiringin,21.146575,-76.212469,kamilaroi
1,22834,Old Dthillar and gunya,4.913273,7.779097,kamilaroi
1,32883,Wamba Wamba,6.85197,-47.326047,kamilaroi
1,12189,Miyaymiyay,2.61681,24.647222,kamilaroi
1,37773,Wadhaagudjaaylwan,7.745519,-66.071933,kamilaroi
1,84969,Bandaarr,17.366531,-67.770668,kamilaroi
1,65109,MuraayMuyaay,13.343296,-36.71229500000001,kamilaroi
1,78384,Warrawilbaarru,16.002036,-38.396706,kamilaroi
