star,name,ra,dec,culture,total_culture_names
4427,Wolf,0.945143,60.71674,seleucid,101
30438,Star of Eridu,6.399195,-52.69566,seleucid,101
80763,"Scorpion's Heart, Lisi",16.490128,-26.432002,seleucid,101
91262,Lady of Life,18.61564,38.783692,seleucid,101
11767,"Heir of the Sublime Temple, the first-ranking son of Anu",2.52975,89.26410899999998,seleucid,101
54061,Ewe,11.062155,61.75103299999999,seleucid,101
65477,Fox,13.420413,54.987958,seleucid,101
69673,Abundant One,14.261029999999998,19.18241,seleucid,101
49669,King,10.139532,11.967207,seleucid,101
85927,Shargaz,17.560145000000002,-37.103821,seleucid,101
85969,Sharur,17.569955,-54.895775,seleucid,101
65474,Ear of Grain,13.419883,-11.161322,seleucid,101
37279,Rooster,7.655033,5.224993,seleucid,101
116584,Heel of the U.KA.DU.A demon,23.626056,46.458152,seleucid,101
111169,Knee of the U.KA.DU.A demon,22.521515,50.282491,seleucid,101
102098,Breast of the U.KA.DU.A demon,20.690532,45.280338,seleucid,101
28380,Hand of the Crook,5.995351,37.212585,seleucid,101
67927,Harness,13.911411,18.397717,seleucid,101
69673,Yoke,14.261029999999998,19.18241,seleucid,101
72105,Rear Harness,14.749784,27.074222,seleucid,101
7097,The brightest star of the Ribbon of the Fishes,1.524725,15.345823,seleucid,101
8903,The front star of the head of the Hired Man,1.910668,20.808035,seleucid,101
9884,The rear star of the head of the Hired Man,2.119555,23.462423,seleucid,101
17702,The Bristle,3.79141,24.105137,seleucid,101
21421,The Jaw of the Bull,4.598677,16.509301,seleucid,101
26451,The southern star of the Chariot,5.627413,21.142549,seleucid,101
25428,The northern star of the Chariot,5.438198000000001,28.60745,seleucid,101
29655,The front star of the Twin's feet,6.247961,22.506799,seleucid,101
30343,The rear star of the Twin's feet,6.3826730000000005,22.513586,seleucid,101
31681,The Twin's star near the Shepherd,6.628528,16.399252,seleucid,101
36850,The front Twin star,7.5766339999999985,31.888276,seleucid,101
37826,The rear Twin star,7.755277,28.026199,seleucid,101
41909,The front star of the Crab to the north,8.545139,20.441162,seleucid,101
41822,The front star of the Crab to the south,8.526591999999999,18.09442,seleucid,101
42806,The rear star of the Crab to the north,8.721430999999999,21.468501,seleucid,101
42911,The rear star of the Crab to the south,8.74475,18.154309,seleucid,101
47908,The head of the Lion,9.764188,23.774255,seleucid,101
49669,The King,10.139532,11.967207,seleucid,101
51624,The small star which is 4 cubits behind the King,10.546853,9.306586,seleucid,101
54879,The Rump of the Lion,11.237335,15.429570000000002,seleucid,101
57757,The rear foot of the Lion,11.844922,1.764718,seleucid,101
61941,The Single star in front of the Furrow,12.694345,-1.449375,seleucid,101
65474,The bright star of the Furrow,13.419883,-11.161322,seleucid,101
72603,The southern part of the Scales,14.844773000000002,-15.997237,seleucid,101
74785,The northern part of the Scales,15.283449,-9.382917,seleucid,101
78401,The middle star of the head of the Scorpion,16.005557,-22.62171,seleucid,101
78820,The upper star of the head of the Scorpion,16.09062,-19.805453,seleucid,101
80763,the god Lisi,16.490128,-26.432002,seleucid,101
84970,The bright star on the tip of Pabilsang's arrow,17.366827,-24.999545,seleucid,101
100345,The Horn of the Goat-Fish,20.350187,-14.781367,seleucid,101
106985,The front star of the Goat-fish,21.668181,-16.662308,seleucid,101
107556,The rear star of the Goat-fish,21.784011,-16.127285999999998,seleucid,101
27366,The rear heel of the True Shepherd of Anu,5.795941,-9.669605,seleucid,101
33018,the front feet and hands of the Great Twins,6.879816,33.961254,seleucid,101
29426,the right hand of the True Shepherd of Anu,6.198999,14.208765,seleucid,101
27366,the rear heel of the True Shepherd of Anu,5.795941,-9.669605,seleucid,101
25985,the middle of the Rooster,5.545504,-17.822289,seleucid,101
37826,the rear foot of the Great Twins,7.755277,28.026199,seleucid,101
35264,the left foot of the constellation of the Arrow,7.285711,-37.09747,seleucid,101
39953,the hands of Nunki,8.158876,-47.336588,seleucid,101
48455,two stars in the head of the Lion,9.879398,26.006951,seleucid,101
47908,two stars in the head of the Lion,9.764188,23.774255,seleucid,101
50335,four stars of the chest of the Lion,10.278171,23.417311,seleucid,101
50583,four stars of the chest of the Lion,10.332873,19.841489000000006,seleucid,101
49583,four stars of the chest of the Lion,10.122209,16.762664,seleucid,101
49669,four stars of the chest of the Lion,10.139532,11.967207,seleucid,101
49029,front right foot of the Lion,10.003557,8.044222999999999,seleucid,101
47452,the middle of the Snake,9.671768,-14.332292,seleucid,101
44816,Nunki Eridu,9.133268,-43.432589,seleucid,101
51624,the foot in the middle of the Lion,10.546853,9.306586,seleucid,101
48774,the hand of Ninmah which is on the knot,9.947708,-54.56779,seleucid,101
54872,the two stars in the rump of the Lion,11.235138,20.523717,seleucid,101
54879,the two stars in the rump of the Lion,11.237335,15.429570000000002,seleucid,101
53740,the tail of the Raven,10.996244,-18.298783,seleucid,101
52727,bite of the Harrow,10.779488,-49.420255,seleucid,101
57632,The single star of the tail of the Lion,11.817663,14.57206,seleucid,101
59803,the middle of the Raven,12.263437,-17.541929,seleucid,101
59196,the hand of the Mouse,12.13931,-50.722425,seleucid,101
72603,the front pan of the Balance,14.844773000000002,-15.997237,seleucid,101
74785,the middle of the Balance,15.283449,-9.382917,seleucid,101
76297,the eye of the Wolf [Mad Dog],15.585681,-41.166757,seleucid,101
69673,SHU.PA,14.261029999999998,19.18241,seleucid,101
76333,the middle of the Balance,15.592104999999998,-14.789537,seleucid,101
78401,the stars of the head of the Scorpion,16.005557,-22.62171,seleucid,101
78323,[the midd]le of the Wolf [Mad Dog],15.991743,-41.744436,seleucid,101
72105,the second star of the Harness,14.749784,27.074222,seleucid,101
80763,the star of the chest of the Scorpion,16.490128,-26.432002,seleucid,101
82514,the upraised tail of the Scorpion,16.864508999999998,-38.04738,seleucid,101
82671,the rear foot of the Wolf,16.899924,-42.362025,seleucid,101
84012,the eye of Zababa,17.172968,-15.72491,seleucid,101
88048,the middle of Zababa,17.983775,-9.773632,seleucid,101
89931,the left hand of Pabilsag which is on the bow,18.3499,-29.828103,seleucid,101
89962,the shin of Zababa,18.355167,-2.898825,seleucid,101
92041,[the right hand of Pabi]lsag which is on the arrow,18.76094,-26.990778,seleucid,101
86974,the single star of the knee of the She-Goat,17.774319000000006,27.720676,seleucid,101
93805,the foot of Zababa,19.10415,-4.882554,seleucid,101
98032,the star of Pabilsag which is above the Barge,19.921026,-41.868288,seleucid,101
91262,the Crook of the Goat,18.61564,38.783692,seleucid,101
97649,the bright star of the Eagle,19.846388,8.868322000000003,seleucid,101
30343,the front feet of the Great Twins,6.3826730000000005,22.513586,seleucid,101
33018,the hands of the Great Twins,6.879816,33.961254,seleucid,101
